labels,text,text_de,text_fr
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U","Gott hob eine Blume und dippeditinaDEW, liebevoll berührt es, die sich in u, und die er begabt tomeandsaid, DER Freund ist 4U","Dieu a ramassé une fleur et a dippeditinaDEW, l'a touché avec amour qui s'est transformé en u, et le il a donné à meandsaid, SON FRIEN EST 4U"
ham,When you came to hostel.,Als du ins Hostel kamst.,Quand vous êtes venu à l'auberge.
ham,Ok no prob... I'll come after lunch then...,"Okay, kein Problem, ich komme nach dem Mittagessen, dann...",Ok pas de problème... je viendrai après le déjeuner alors...
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,"Jus sagen u dat ich werde b verlassen 4 shanghai auf 21st statt, so dass wir mehr Zeit 2 treffen sich cya...","Jus dit u dat i'll b en laissant 4 shanghai sur 21e à la place, donc nous allons avoir plus de temps 2 se retrouver cya..."
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,"Bist du noch zu Hause? Erinnerst du dich daran, deine Mutter am Morgen zu küssen? Liebst du mich? Denkst du an mich? Fehlst du mich noch?",Est-ce que tu es à la maison? Tu vas t'en souvenir pour embrasser ta mère le matin? Tu m'aimes? Tu penses à moi? Tu me manques encore?
ham,You all ready for * big day tomorrow?,Seid ihr bereit für einen großen Tag morgen?,Vous êtes prêts pour un grand jour demain?
ham,I'll probably be around mu a lot,Ich werde wahrscheinlich viel in der Nähe sein.,Je serai probablement beaucoup autour de Mu.
ham,645,645..............................................................................................................................................................................................................................................................,645............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,RT-KIng Pro Video Club>> Benötigen Sie Hilfe? info@ringtoneking.co.uk oder rufen Sie 08701237397 Sie müssen 16+ Club Credits einlösen unter www.ringtoneking.co.uk! Viel Spaß!,RT-KIng Pro Video Club>> Besoin d'aide? info@ringtoneking.co.uk ou composez le 08701237397 Vous devez être 16+ crédits Club échangeables à www.ringtoneking.co.uk! Profitez!
ham,Thnx dude. u guys out 2nite?,Dieser Kerl. U Jungs aus 2nite?,C'est un mec qui sort de 2nites?
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,"Mein Sef Dey lacht dich, und wie geht's meinem Liebling Anjie?","Moi, je te ris, pendant ce temps-là, comment va mon ange chéri?"
ham,Mm i had my food da from out,Mm ich hatte mein Essen da von aus,Mm j'ai eu ma nourriture da de dehors
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas","K, macht Sinn, btw carlos ist schwierig, so dass ihr Jungs rauchen, während ich gehe abholen die zweite Charge und Gas zu bekommen","K, c'est logique, btw carlos est difficile pour vous les gars vont fumer pendant que je vais chercher le deuxième lot et obtenir de l'essence"
ham,Did u download the fring app?,Haben Sie die fring App heruntergeladen?,Vous avez téléchargé l'application fring?
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,"Der 2 Unzen Kerl ist irgendwie schuppig, aber ein Freund ist daran interessiert, $ &lt; #&gt; wert heute Abend, wenn möglich",Le gars de 2 oz est un peu flaky mais un ami est intéressé à ramasser $ &lt;#&gt; vaut ce soir si possible
ham,Friends that u can stay on fb chat with,"Freunde, die u auf fb-Chat mit bleiben kann",Amis que u peut rester sur fb chat avec
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...","Ich wünschte, du wärst hier, um mit mir zu schlafen... Mein Bett ist so einsam... Ich gehe jetzt, um zu schlafen... Um von dir zu träumen, meine Liebe...","Putain bébé, tu me manques tellement!! J'aimerais que tu sois là pour coucher avec moi... Mon lit est si solitaire... Je vais maintenant, pour dormir... Pour rêver de toi, mon amour..."
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",Leben ist sehr einfach.. Liebe ist auch einfach.. Lachen ist zu einfach.. Gewinnen ist zuoo einfach.. Aber 'SIMPLE' zu sein ist sehr schwierig.. Gud nte.:-,"Vivre est très simple.. Aimer est aussi simple.. Rire est trop simple.. Gagner est tooo simple.. Mais, être 'SIMPLE' est très difficile.. Gud nte.:-"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,"U haben einen geheimen Verehrer, der sucht 2 machen Kontakt mit U-find heraus, wer sie R*enthüllen, der denkt UR so spezielle Anruf auf 09058094599",U ont un admirateur secret qui cherche 2 faire contact avec U-find qui ils R*revel qui pense UR si spécial-appel sur 09058094599
ham,"Ah, well that confuses things, doesn‘t it?","Ah, nun, das verwirrt die Dinge, nicht wahr?","Ah, et bien ça confond les choses, n'est-ce pas?"
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,500 Freitext msgs. Nur Text ok bis 80488 und wir werden Ihr Konto gutschreiben,500 msgs texte gratuit. Il suffit de texte ok à 80488 et nous créditerons votre compte
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,"Hallo Liebe Rufen Sie mich seine urgnt. Ich weiß nicht, was Ihr Problem ist. Sie wollen nicht arbeiten oder wenn Sie ein anderes Problem haben, zumindest sagen Sie mir.",Bonjour Cher Appelez-moi son urgnt. Je ne sais pas quel est votre problème. Vous ne voulez pas travailler ou si vous avez un autre problème au moins me dire. Wating pour votre réponse.
ham,Dear how you. Are you ok?,Alles in Ordnung?,Ça va?
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS","Sie wurden ausgewählt, um in 1 von 250 Top-British Hotels zu bleiben - FÜR NICHTS! Holiday Wert £350! To Claim, Call London 02072069400. Bx 526, SW73SS","Vous avez été sélectionné pour séjourner dans 1 des 250 meilleurs hôtels britanniques - FOR NOTHING! Holiday Worth £350! Pour réclamer, appelez Londres 02072069400. Bx 526, SW73SS"
ham,Yes princess! I want to make you happy...,"Ja, Prinzessin, ich will dich glücklich machen.",Je veux te rendre heureuse...
ham,Sounds like you have many talents! would you like to go on a dinner date next week?,"Klingt, als hättest du viele Talente! Möchtest du nächste Woche zu einem Dinner-Date gehen?",On dirait que vous avez beaucoup de talents! Voulez-vous aller à un rendez-vous de dîner la semaine prochaine?
ham,I am going to film 2day da. At 6pm. Sorry da.,Ich gehe zu Film 2day da. Um 18 Uhr. Sorry da.,Je vais filmer 2 jours à 18 h. Désolé.
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,"Xy will 2 Geschäfte, also kaufe ich sie jetzt ein.","Xy veut 2 boutiques, alors je lui fais des courses."
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,"Hallo mein kleines Partytier! Ich dachte nur, ich würde dich so bumsen, wie du mit deinen Freunden warst...*grins*... Erinnern Sie sich, dass Sie geliebt wurden und senden Sie einen frechen götzenden Kuss",Bonjour mon petit animal de fête! Je pensais juste que je te bourdonnerais comme tu étais avec tes amis...*grins*... te rappeler que tu étais aimé et envoyer un baiser coquin
ham,Yesterday its with me only . Now am going home.,Gestern ist es nur mit mir. Jetzt gehe ich nach Hause.,Hier c'est seulement avec moi. Maintenant je rentre à la maison.
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p","Eerie Nokia Töne 4u, rply TONE TITEL bis 8007 zB TONE DRACULA bis 8007 Titel: GHOST, ADDAMSFA, MUNSTER, EXORCIST, TWILIGHT www.getzed.co.uk POBox36004W45WQ 150p","Eerie Nokia tones 4u, rply TONE TITRE à 8007 par exemple TONE DRACULA à 8007 Titres: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for","Sie haben in mein Leben gekommen und brachte die Sonne..Shiny unten auf mich, Wärmen mein Herz. Setzen Sie ein ständiges Lächeln auf mein Gesicht... So dass ich mich geliebt und gepflegt für","Vous êtes venu dans ma vie et a apporté le soleil..Rien sur moi, réchauffer mon cœur. Mettre un sourire constant sur mon visage... Me faire sentir aimé et soigné"
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me","Kein Scheiß, aber ich war nicht so überrascht, also ging ich den Abend mit dem Franzosen verbringen, den ich hier in der Stadt getroffen habe und wir haben ein bisschen herumgealbert, aber ich ließ ihn mich nicht ficken","Pas de merde, mais je n'étais pas si surpris, alors je suis allé passer la soirée avec ce français que j'ai rencontré ici et on s'est un peu trompés mais je ne l'ai pas laissé me baiser."
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.","0A$NETWORKS ermöglichen es Unternehmen, SMS zu berechnen, so dass sie für ihre ""Lieferanten"" verantwortlich sind, so wie ein Shop eine Garantie auf das, was sie verkaufen geben muss. B. G.","0A$NETWORKS permettent aux entreprises de facturer pour SMS, donc ils sont responsables de leurs ""fournisseurs"", tout comme un magasin doit donner une garantie sur ce qu'ils vendent. B. G."
ham,Great comedy..cant stop laughing da:),Tolle Komödie..cant aufhören zu lachen da:),Grande comédie..cant arrêter de rire da:)
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,FreeMsg:Feelin irgendwie Hoffnung u wie 2 halten mich Gesellschaft! Jst bekam eine Cam moby will c mein Bild?Txt oder Antwort DATE zu 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,FreeMsg:Feelin en quelque sorte l'espoir u like 2 me tenir compagnie! Jst a obtenu une cam moby want c mon pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,"Alright, we're all set here, text the man","Alles klar, wir sind hier fertig, sims dem Mann.","Très bien, nous sommes tous prêts ici, texto à l'homme"
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?","Hallo, wo bist du? Wir sind bei und sie sind nicht daran interessiert, ausgehen ich bin, aber das Gefühl, ich sollte nicht so können wir gehen tomo, nichts dagegen haben Sie?","On est là et ils n'ont pas envie de sortir, mais je pense que je ne devrais pas."
ham,Sleeping nt feeling well,Schlafen nt wohl fühlen,Sleeping Nt se sent bien
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,U WIRD IHRE FON AUF DAMMIT SCHÜTZEN!!,On va s'en prendre à toi sur DAMMIT!!
ham,India have to take lead:),Indien muss die Führung übernehmen:),L'Inde doit prendre la tête :)
ham,I.ll post her out l8r. In class,Ich werde sie im Unterricht ausstellen.,Je la posterai en classe.
ham,Thts wat Wright Brother did to fly..,Thts wat Wright Bruder hat zu fliegen..,Thts wat Wright Brother a fait voler..
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!","Abend * v gut, wenn etwas Ereignis beladen. Füllen Sie in, keine Sorge... Kopf * ok aber Kehle * zerstört. Wir sehen uns um sechs dann!","Bonsoir * v bon si un peu d'événement chargé. Sera vous remplir, ne vous inquiétez pas... Tête * ok mais gorge * détruit. Rendez-vous à six heures alors!"
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),"Wenn u lachen wirklich laut.. Wenn u sprechen spontan.. Wenn u nicht kümmern, was andere fühlen.. U sind wahrscheinlich mit Ihren lieben &amp; besten Freunden.. GOODEVENING Liebe..:)",Si vous riez vraiment fort.. Si vous parlez spontanément.. Si vous ne vous souciez pas de ce que les autres ressentent.. U sont probablement avec votre cher &amp; meilleurs amis.. GOODEVENING Chère..:)
ham,ITS A LAPTOP TAKE IT WITH YOU.,"Es ist ein Laptop, es mit dir zu nehmen.",C'est un laptop qui te l'apporte.
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,"Ich habe keine Ihrer Akten in meiner Tasche..i war in der Arbeit, als Sie mich riefen.i 'll Ihnen sagen, wenn ich etwas in meinem Zimmer finde.",Je n'ai pas votre dossier dans mon sac. J'étais au travail quand vous m'avez appelé. Je vous dirai si je trouve quelque chose dans ma chambre.
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,Ich will aber zu früh lei... ich wollte jetzt draußen so früh zu Hause sein... Neva-Geist dann...,Je veux mais trop tôt lei... moi dehors maintenant je rentre si tôt... Neva l'esprit alors...
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk","Für ur chance zu gewinnen £250 cash pro wk TXT: AKTION zu 80608. T's&C www.movietrivia.tv custcare 08712405022, 1x150p/wk","Pour votre chance de gagner 250 £ d'argent par wk TXT: ACTION à 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,"Ich war bei buggis juz jetzt wat... Aber jetzt bin ich zu Fuß nach Hause oredi... Ü so spät dann antworten... Ich oso sah ein Top-dat ich mag, aber din kaufen... Wo rü jetzt?",J'étais chez bugis juz maintenant wat... mais maintenant je rentre à la maison oredi... Ü si tard alors répondez... J'ai vu un top dat que j'aime mais din acheter... Où r ü maintenant?
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..","Ich wünsche Ihnen und Ihrer Familie frohe ""X"" mas und glückliches neues Jahr im Voraus..","Souhaitant vous et votre famille Merry ""X"" mas et HAPPY NOUVELLE Année à l'avance.."
ham,At 7 we will go ok na.,Um 7 werden wir in Ordnung na.,"A 7 heures, on ira bien na."
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),"Ja, ich habe ein paar Bilder auf fb gepostet. Draußen ist noch Schnee. Ich wache gerade auf :)","Oui, j'ai posté quelques photos sur fb. Il y a encore de la neige dehors aussi. Je me réveille juste :)"
ham,S:-)if we have one good partnership going we will take lead:),"S:-)Wenn wir eine gute Partnerschaft haben, werden wir die Führung übernehmen:)","S:-)si nous avons un bon partenariat, nous prendrons la direction:)"
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,"RGENT! Dies ist der zweite Versuch, Kontakt U!U haben WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50",RGENT! C'est la 2e tentative de contacter U!U ont WON £1250 APPEL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max £7.50
ham,"Yeah, where's your class at?","Ja, wo ist dein Kurs?","Ouais, où est ton cours?"
ham,No just send to you. Bec you in temple na.,Schicken Sie nicht einfach zu Ihnen. Bec Sie im Tempel na.,Je t'envoie au temple na.
ham,"You aren't coming home between class, right? I need to work out and shower!","Du kommst nicht zwischen den Kursen nach Hause, oder?","Tu ne rentres pas entre les cours, j'ai besoin de m'entraîner et de prendre une douche!"
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,Hi if ur lookin 4 saucy Tag Spaß wiv vollbusig verheiratete Frau Am kostenlos die ganze nächste Woche Chat jetzt 2 Sortierzeit 09099726429 JANINExx Anrufe£1/minMobsmoreLKPOBOX177HP51FL,Salut if ur lookin 4 saucy daytime fun wiv busty femme mariée Am gratuit toute la semaine prochaine Chat maintenant 2 temps de tri 09099726429 JANINExx Appels£1/minMobsmoreLKPOBOX177HP51FL
ham,S but mostly not like that.,S aber meistens nicht so.,Mais surtout pas comme ça.
ham,Ü v ma fan...,#NAME?,Ü v ma fan...
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,"Dunno cos ich war v spät n, als ich erreichen sie bereits innen... Aber wir aßen Spageddies lor... Es ist e girls, die r lachen mich lor...",Dunno parce que j'étais en retard quand j'arrive à l'intérieur... mais on a mangé des camédies lor... c'est les filles qui se moquent de moi lor...
ham,Guess who spent all last night phasing in and out of the fourth dimension,"Rate mal, wer die ganze letzte Nacht in und aus der vierten Dimension gejagt hat.",Devinez qui a passé toute la dernière nuit à entrer et sortir de la quatrième dimension
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,"Jetzt wird mein Dad anrufen, nachdem er die Arbeit verlassen hat und all diese verrückten Fragen stellen.",Alors maintenant mon père va appeler après qu'il soit sorti du travail et poser toutes ces questions folles.
ham,"Yes..but they said its IT.,","Ja..aber sie sagten es.,","Oui..mais ils ont dit son informatique.,"
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)","Sehr verletzen n sinnvolle Linien jemals: ""Ich kompromittierte alles für meine Liebe, Aber am Ende meiner Liebe kompromittierte mich für alles:-("".. Gud mornin:-)","""J'ai tout compromis pour mon amour, mais à la fin mon amour m'a compromis pour tout:-"". Gud matin:-)"
ham,Lmao!nice 1,"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, n",Lmao!nice 1
ham,Glad to see your reply.,"Schön, Ihre Antwort zu sehen.",Content de voir votre réponse.
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,"URGENT! Wir versuchen, Kontakt U. Todays Ziehung zeigt, dass Sie einen £800 Preis gewonnen haben GARANTEED. Rufen Sie 09050001295 von der Landlinie. Anspruch A21. Nur gültig 12 Stunden",URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £800 GUARANTIEED. Appelez 09050001295 de la ligne terrestre.
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,Monatliches Passwort für wap. mobsi.com ist 391784. Verwenden Sie Ihr wap Telefon nicht PC.,Mot de passe mensuel pour wap. mobsi.com is 391784. Utilisez votre téléphone wap pas PC.
ham,Nah dub but je still buff,Nah dub aber je immer noch buff,Nah dub mais je suis toujours buff
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""","Schmerzhafte Worte: ""Ich dachte, glücklich zu sein sei das Härteste auf der Erde... Aber das Härteste ist, glücklich zu handeln mit allen unausgesprochenen Schmerzen im Inneren.""","Des mots douloureux : « Je pensais que le bonheur était la chose la plus difficile sur Terre... Mais le plus dur, c'est d'agir heureux avec toute douleur non parlée à l'intérieur. »"
ham,"Yeah, that's fine! It's £6 to get in, is that ok?","Es sind 6 Pfund, um reinzukommen, ist das ok?","C'est 6 livres pour entrer, c'est bon?"
ham,Lol where do u come up with these ideas?,Lol wo u kommen mit diesen Ideen?,"Lol, où est-ce que tu trouves ces idées?"
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas","So viele Menschen scheint auf den ersten Blick etwas Besonderes zu sein, aber nur sehr wenige werden Ihnen bis zu Ihrem letzten Anblick etwas Besonderes bleiben.. Bewahren Sie sie, bis das Leben endet.. Sh!jas","Tellement de gens semblent être spéciaux à première vue, Mais seulement très peu restera spécial pour vous jusqu'à votre dernière vue.. Maintenez-les jusqu'à la fin de la vie.. Sh!jas"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Heute ist ""Song gewidmet Tag.."" Welches Lied wird u widmen für mich? Senden Sie dies an alle ur wertvollen frnds aber zuerst rply mich...","Aujourd'hui c'est ""jour de chant dédié... Quelle chanson va-t-on me dédier? Envoyez ceci à tous les frnds précieux mais tout d'abord rply moi..."
ham,Okay... We wait ah,"Okay, wir warten.",Ok... nous attendons ah
ham,Y lei?,Bist du fertig?,C'est ça?
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,"Ich wollte wirklich sehen, dass wir uns um 9 Uhr so anrufen. LIEBE MICH XXX",J'aimerais vraiment voir U Tomorrow et m'appeler à 9 h. Aimez-moi XXX
ham,Already am squatting is the new way of walking,Schon hocken ist die neue Art des Gehens,Déjà le squattage est la nouvelle façon de marcher
ham,Do you want bold 2 or bb torch,Willst du fette 2 oder bb Fackel,Voulez-vous bold 2 ou bb torch
ham,Cramps stopped. Going back to sleep,Die Krämpfe blieben stehen und schliefen wieder ein.,Les crampes se sont arrêtées.
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,"Die heutigen Vodafone-Nummern, die mit 0089 enden (meine letzten vier Ziffern), werden ausgewählt, um einen £350-Award zu erhalten. Wenn Ihre Nummer stimmt, rufen Sie bitte 09063442151 an, um Ihren £350-Award zu erhalten.","les numéros de vodafone d'aujourd'hui se terminant par 0089(mes quatre derniers chiffres) sont sélectionnés pour recevoir une bourse £350. Si votre numéro correspond, veuillez appeler le 09063442151 pour réclamer votre bourse £350"
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,Free Top Klingelton -Sub bis wöchentliche Klingelton-get 1. Woche kostenlos-senden SUBPOLY zu 81618-?3 pro Woche-Stopp sms-08718727870,Free Top sonnerie -sous-sub-hebdomadaire sonnerie-obt 1st week free-send SUBPOLY à 81618-?3 par semaine-stop sms-08718727870
ham,Nan sonathaya soladha. Why boss?,Nan sonathaya soladha. Warum Boss?,"Nan sonathaya soladha, pourquoi patron?"
ham,Bring tat cd don forget,Bringen tat cd nicht vergessen,Apporter tat cd n'oublie pas
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"Sunshine Quiz Wkly Q! Gewinnen Sie einen Top-Sony-DVD-Player, wenn u wissen, in welchem Land die Algarve ist? Txt ansr zu 82277. £1.50 SP:Tyron","Sunshine Quiz Wkly Q! Gagnez un meilleur lecteur DVD Sony si vous savez dans quel pays se trouve l'Algarve? Txt ansr à 82277. £1,50 SP:Tyrone"
ham,I don't know but I'm raping dudes at poker,"Ich weiß nicht, aber ich vergewaltige Typen beim Pokern.","Je ne sais pas, mais je viole des mecs au poker."
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,Weightloss! Keine Freundinnen mehr. Machen Sie jede Menge Geld auf ebay oder so. Und danken Sie Gott.,Perte de poids! Plus d'amis de fille. Faire beaucoup d'argent sur ebay ou quelque chose. Et rendre grâces à Dieu.
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,"War gr8, um diese Nachricht zu sehen. Also, wenn r u verlassen? Gratuliere liebe. Welche Schule und wat r ur Pläne.",C'était pour voir ce message. Alors quand r u partir? Félicitations cher. Quelle école et wat r ur plans.
ham,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?,"Ich esse später, aber ich esse jetzt, wenn ich erst nach Hause gehe?",Ü manger plus tard mais je mange avec mes frens maintenant lei... Ü rentrer chez moi d'abord?
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,"Ja, sie sagen immer wieder, ich sei so beschämt.",Ils n'arrêtent pas de dire que j'ai tellement honte.
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday","Tut mir leid Mann, mein Vorrat lief gestern Nacht trocken und ich kann nicht mehr bis Sonntag abholen","Désolé mec, ma planque est sèche la nuit dernière et je ne peux pas prendre plus avant dimanche"
ham,Hai priya are you right. What doctor said pa. Where are you.,"Hai Priya, du hast recht, der Arzt hat Papa gesagt, wo bist du?","Hai priya, tu as raison, ce que le docteur a dit à papa, où es-tu?"
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.","Frei msg. Sorry, ein Service, den Sie von 81303 bestellt haben, konnte nicht geliefert werden, da Sie nicht über ausreichende Gutschrift verfügen.","Gratuit msg. Désolé, un service commandé à partir de 81303 n'a pas pu être livré car vous n'avez pas assez de crédit. Veuillez compléter pour recevoir le service."
ham,Ok...,In Ordnung.,C'est bon...
ham,Please ask mummy to call father,"Bitte sag Mama, sie soll Vater anrufen.","S'il te plaît, demande à maman d'appeler papa."
ham,Can come my room but cannot come my house cos my house still messy... Haha...,"Kann mein Zimmer kommen, aber mein Haus kann nicht kommen, weil mein Haus immer noch chaotisch ist.",Peut venir ma chambre mais ne peut pas venir ma maison parce que ma maison est toujours en désordre... Haha...
ham,I have lost 10 kilos as of today!,Ich habe ab heute 10 Kilo verloren!,J'ai perdu 10 kilos à partir d'aujourd'hui!
ham,Just taste fish curry :-P,Geschmack Fisch Curry :-P,Goûtez au curry de poisson :-P
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,Was kann ich tun? Könnte accidant Platz zwischen irgendwo ghodbandar rd. Verkehr bewegt sich slovely. So plz slip &amp; keine Sorge.,Que puis-je faire? L'accidant pourrait-il avoir lieu entre quelque part ghodbandar rd. Trafic se déplace en douceur. Donc plz glisser &amp; ne vous inquiétez pas.
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,"Wo ist sie, wenn sie sich auf Waden spezialisiert hat?",Yun ah.maintenant ü wkg où?btw si ü go nus sc. Ü wana se spécialise en wad?
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,"Ja, ich bin ein Mann mit einer Frau! Bitte sag mir, was du magst und was du im Bett nicht magst.","S'il vous plaît, dites-moi que vous aimez et que vous n'aimez pas au lit..."
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,"Ich weiß Sie zu schätzen, ich rufe Sie morgen an.","J'ai fait mon test tout à l'heure, je t'apprécie, je t'appellerai demain."
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?","Wie geht es meinem Loverboy? Was macht er, das ihn davon abhält, zu seiner Königin zu kommen, hmmm, schmerzt er nicht, mit mir zu sprechen? Miss me desparately?",Qu'est-ce qu'il fait pour l'empêcher de venir à sa reine?
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,Du triffst andere Fren dun wan triffst mich ah... Muz b ein Kerl Ritus...,Il y a d'autres fren dun wan qui me rencontrent... Muz b a guy rite...
ham,"(No promises on when though, haven't even gotten dinner yet)","(Keine Versprechungen, wenn, haben noch nicht einmal Abendessen bekommen)","(Pas de promesses quand même, n'ont même pas encore dîné)"
ham,I got your back! Do you have any dislikes in bed?,Hast du irgendwelche Abneigungen im Bett?,Tu n'aimes pas ça au lit?
ham,o turns out i had stereo love on mi phone under the unknown album.,"o stellt sich heraus, dass ich Stereo-Liebe auf mi Telefon unter dem unbekannten Album hatte.",o il s'avère que j'ai eu l'amour stéréo sur le téléphone mi sous l'album inconnu.
